주식,기사 제목,언론사,주가변동여부,거래량변동여부
한전기술,"한전, 한국전기기술인협회와 '파워체크 모바일 서비스' 사업 협력",헤럴드경제,0,1
한전기술,"[특징주] 한전기술, 소형모듈원자로 사업 기대감에 상승",연합뉴스,0,1
한전기술,"[특징주]한전기술, 잇따른 호재에 3일 연속 강세",연합뉴스,0,1
한전기술,"한전기술, 김천시 지역상생 협력 기부금 전달",헤럴드경제,0,1
한전기술,'탈원전' 기류 바뀌나...한전기술 9%대 치솟아,뉴스1,0,1
한전기술,[특징주]소형모듈원자로(SMR) 사업 기대에 한전기술·한전KPS 강세,뉴시스,0,1
한전기술,"[특징주] 한전기술, 스마트원전 'SMR' 부각에 강세… 6%↑",전자신문,0,1
한전기술,김성암 한전기술 사장 취임 “디지털 혁신·성장동력 강화”,머니S,0,1
한전기술,한전기술 김성암 사장 취임,헤럴드경제,0,1
한전기술,"김장현 신임 한전KDN 사장 ""기술 중시 경영 CEO될 것""",머니S,0,0
한전기술,"김장현 한전KDN 사장 취임…""기술중시 경영""",이데일리,1,0
한전기술,"15년째 핵심기술 확보...한전, 해상풍력사업 진출 채비",아시아경제,1,0
한전기술,"현대엔지니어링, 한전기술·보국에너텍과 환경에너지사업 협약",연합뉴스,1,0
한전기술,"한전기술, 현대엔지니어링·보국에너텍과 환경에너지사업 협력",문화일보,1,1
한전기술,"현대ENG, 한전기술·보국에너텍과 친환경 에너지사업 공동 추진",국민일보,1,1
한전기술,"한전, 전남·나주 강소특구 비전선포식…“신재생 등 에너지 기술사업화 선도”",이데일리,0,0
한전기술,"한전, 나주 강소특구 비전선포식…""기술사업화 선도""",뉴시스,0,0
한전기술,"한전, 전남 나주 강소연구개발특구 비전선포식…기술사업화 선도",뉴스1,0,0
한전기술,"한전기술 이배수 사장, '어린이 교통안전 챌린지' 동참",뉴시스,1,0
한전기술,"한전, ‘중소기업 에너지 기술마켓’ 업무협약 체결",YTN,0,0
한전기술,"한전, 중소기업 에너지 기술마켓 업무협약 체결",디지털타임스,1,1
한전기술,"김주완 전 한전기술 상임감사, 국회 입법지원위원 위촉",부산일보,0,0
한전기술,"한전KDN, AR 기술로 지하매설물 관리 안전성 확보 노력",아시아경제,1,1
한전기술,"한전KDN, 한국전력기술과 AR 활용 지하매설물 관리",이데일리,1,1
한전기술,"한전KDN-한국전력기술, `AR 발전소 지하매설물 관리시스템` 구축 협약",한국경제,1,1
한전기술,"한전기술, 한전KDN과 지하매설물 관리시스템 구축 협력",아시아경제,1,0
한전기술,"한전기술, ‘설날 착한 선물 나눔 캠페인’",헤럴드경제,1,0
한전기술,"한전기술, ITER 기자재 공급 사업 연속 수주",이데일리,1,0
한전기술,"한전기술, ITER 기자재 공급 사업 연속 수주",이데일리,1,0
한전기술,"한전기술, ITER 기자재 공급 사업 연속 수주",전자신문,1,0
한전기술,한전기술 이배수 사장 ‘설날 착한선물 나눔캠페인’ 동참,부산일보,0,0
한전기술,"한전기술, ‘코로나 극복 위한 Book-up Day’ 이벤트 개최",뉴시스,0,0
한전기술,"한전기술, 김천혁신도시 설맞이 어울림 직거래장터 개설",헤럴드경제,0,0
한전기술,"대우조선해양, 한전기술과 해상풍력 변전설비 공동 개발",연합뉴스,0,0
한전기술,"한전기술, 대우조선과 해상풍력발전 변전설비 공동개발",전자신문,0,0
한전기술,"한전기술, 대우조선해양과 해상풍력발전 변전설비 공동개발",부산일보,1,1
한전기술,"한전기술, 디지털엔지니어링실 만든다",이데일리,1,1
한전기술,"한전기술, ‘디지털 엔지니어링’ 전담 조직 구축",부산일보,0,1
한전기술,"한전기술, '디지털 엔지니어링' 전담 조직 구축",뉴시스,0,1
한전기술,"한전기술, '디지털 엔지니어링' 전담 조직 신설",이데일리,0,1
셀트리온,셀트리온 “코로나 치료제 ‘렉키로나’ 효능 다시 입증”,문화일보,1,1
셀트리온,"셀트리온, 유럽 학회서 “렉키로나, 통계적 유의성 확보”…주가는 ‘덤덤’",헤럴드경제,1,1
셀트리온,"셀트리온, 유럽 학회서 '렉키로나' 글로벌 임상 3상 결과 발표",동아일보,1,1
셀트리온,"셀트리온, 유럽학회서 코로나 치료제 글로벌 임상 3상 결과 발표",매경이코노미,0,1
셀트리온,"셀트리온, 코로나 항체치료제 글로벌 3상 발표…""중증 환자 70%↓""",한국일보,0,1
셀트리온,"셀트리온 코로나 치료제, 글로벌 허가 박차… 감염병 학회서 소개",아이뉴스24,0,1
셀트리온,"셀트리온, ‘렉키로나’ 글로벌 임상 3상 결과 유럽학회서 발표",SBS,0,1
셀트리온,"셀트리온, 유럽 감염학회서 코로나 치료제 '렉키로나' 3상 발표",머니S,0,1
셀트리온,"셀트리온, 유럽 학회서 ‘렉키로나’ 글로벌 임상 3상 결과 발표",서울경제,0,1
셀트리온,"셀트리온, ""'렉키로나' 코로나 중증환자 70% 감소""",한국경제,0,1
셀트리온,"셀트리온, 유럽 학회서 '렉키로나' 글로벌 3상 결과 발표…경증·중등증 환자 유효...",뉴스1,0,1
셀트리온,"셀트리온 ""렉키로나, 통계적 유의성 확보""…유럽 학회서 임상 3상 결과 발표",이코노미스트,0,1
셀트리온,"셀트리온,코로나 항체치료제 글로벌 3상 발표…""중증환자 70%↓""",한국경제TV,0,1
셀트리온,"셀트리온, 유럽 학회서 ‘렉키로나’ 글로벌 임상 3상 결과 발표",파이낸셜뉴스,0,1
셀트리온,[특징주] 카카오게임즈 5%대 하락…셀트리온제약에 시총 2위 내줘(종합),SBS Biz,0,1
셀트리온,"[마감시황] 셀트리온제약, 외국인 매수세에 코스닥 시총 2위 탈환",연합뉴스,0,1
셀트리온,"'포스트 서정진' 셀트리온, 남은 숙제는",이데일리,0,1
셀트리온,[특징주] 카카오게임즈 약세…셀트리온제약에 시총 2위 내줘,연합뉴스,1,1
셀트리온,"[특징주] 렉키로나, 변이에도 효과 기대…셀트리온 3형제↑",이코노미스트,1,1
셀트리온,[특징주]셀트리온제약 시총 2위 탈환…4% ‘강세’,비즈니스워치,1,1
셀트리온,"[특징주] 셀트리온제약, 외국인 매수세에 4%대 상승세",연합뉴스,1,1
셀트리온,코스닥 주간 개인 순매수 1위 '셀트리온헬스케어',뉴스1,1,1
셀트리온,코스닥 주간 기관 순매도 1위 ‘셀트리온헬스케어',이데일리,1,1
셀트리온,"셀트리온 코로나 치료제, 2주 만에 사용 병원 14% 늘었다",헤럴드경제,1,1
셀트리온,[CEO DOWN | 서정진 셀트리온 명예회장] 주식부자가 치료제 수출 소식 기다...,이데일리,1,0
셀트리온,셀트리온제약 제친 카카오게임즈…코스닥 시총 ‘지각변동’,이데일리,1,0
셀트리온,셀트리온·씨젠 등 왜 바이오주에 강성 주주들이 많을까,매일경제,0,1
셀트리온,"'오딘' 카카오게임즈, 셀트리온제약 제치고 시총 2위 목표가도 올랐다",파이낸셜뉴스,0,1
셀트리온,"카카오게임, '셀트리온 2체제' 깼다...코스닥 시총 2위 등극",연합뉴스,0,1
셀트리온,"카카오게임즈, 셀트리온제약 제치고 코스닥 시총 2위",머니S,0,1
셀트리온,"카카오게임즈, 결국 셀트리온제약 제쳤다…시총 2위 등극",한국경제,0,1
셀트리온,"카카오게임즈, 오딘 열풍에 셀트리온제약 제치고 시총 2위",매일경제,0,1
셀트리온,"카카오게임즈, 셀트리온제약 제치고 코스닥 시총 2위 등극",파이낸셜뉴스,0,1
셀트리온,"셀트리온 이너랩, ‘김호중 이모티콘’ 선보여",데일리안,0,1
셀트리온,"신한금투 “셀트리온헬스케어, 램시마SC 등 유럽 매출성장 주목”",한국경제,0,1
셀트리온,"“셀트리온헬스케어, 2분기 실적 예상치에 부합할 것”",머니투데이,0,1
셀트리온,"셀트리온헬스케어, 실적전망 양호…유럽 매출성장 기대-신한",조선비즈,0,1
셀트리온,"[클릭 e종목]""셀트리온헬스케어, 2분기 실적 정상화…하반기가 핵심""",서울경제,0,1
셀트리온,"셀트리온제약, 99억원 규모 법인세 소송 항소심서 승소",뉴스1,0,1
셀트리온,"""셀트리온, 2분기 실적 기대치 밑돌 것…하반기 성과 주목""",한국경제,0,1
셀트리온,"""셀트리온, 2분기 영업익 컨센서스 하회 전망에 목표가↓""-신한",이데일리,0,1
셀트리온,"신한금투 ""셀트리온 2분기 영업익, 컨센서스 20% 하회…목표가 5.8%↓""",아시아경제,0,1
셀트리온,"셀트리온, 2분기 영업익 컨센서스 21% 하회…목표가↓-신한금투",서울경제,0,0
셀트리온,셀트리온 렉키로나 '감마 변이' 동물시험서 효능..'델타 변이'는?,한국경제,0,0
셀트리온,"셀트리온 렉키로나, 동물시험서 '감마 변이'에 효능 확인",조선비즈,0,0
셀트리온,'기관 사자' 코스피 0.4% 상승 3290선…셀트리온株 동반 상승,한국경제,0,0
셀트리온,"셀트리온 ""렉키로나, 동물실험서 브라질 '감마' 변이에 효능 확인""",뉴스1,0,0
셀트리온,"""코로나19 변이 바이러스 유효성 확인""…셀트리온 3형제 주가↑",아이뉴스24,0,0
셀트리온,"셀트리온 코로나19 항체치료제, 브라질 변이에 효능",한국일보,0,0
셀트리온,'오딘' 카카오게임즈 또 급등 12% '쑥'…셀트리온제약과 시가총액 2위 다툰다,데일리안,0,0
셀트리온,"셀트리온 ""렉키로나, 감마 변이 효과 있어… 델타는 확인 중""",뉴스1,0,0
셀트리온,"셀트리온 ""렉키로나, 동물서 감마 변이바이러스 효능 확인""",아시아경제,0,0
셀트리온,"셀트리온 ""렉키로나, 동물효능시험서 브라질발 감마 변이 바이러스에 효과""",머니투데이,0,0
셀트리온,셀트리온 '렉키로나' 브라질발 감마 변이 동물시험 효능 확인,뉴스1,0,0
셀트리온,"셀트리온 ""항체치료제 동물실험서 브라질발 '감마' 변이에 효능""",매일경제,0,0
셀트리온,"셀트리온 ""렉키로나 동물실험서 ‘감마형’ 변이 효과 확인""",머니S,0,0
셀트리온,"셀트리온 코로나 치료제, 브라질 변이 바이러스 동물시험서 효능 확인",한국경제,0,0
셀트리온,"셀트리온, 렉키로나 브라질 변이 바이러스 동물시험서 효능 확인",서울경제,0,0
셀트리온,"셀트리온, 렉키로나 브라질 감마 변이 효능 확인",한국경제TV,0,0
셀트리온,"셀트리온 '렉키로나', 동물실험서 코로나 감마 변이에 대한 효능 확인",연합뉴스,0,0
셀트리온,"“카카오 김범수 웃고, 셀트리온 서정진 울고”",이코노미스트,0,0
셀트리온,"FT ""셀트리온 코로나 치료제 렉키로나로 1.5조 매출 기대""",SBS Biz,0,0
셀트리온,코스닥 주간 개인 순매수 1위 '셀트리온헬스케어',이데일리,0,0
셀트리온,코스닥 주간 외국인 순매도 1위 '셀트리온헬스케어',머니투데이,0,0
셀트리온,해외엔 넘사벽 기업 넘치는데…셀트리온·삼바 '고평가' 논란 [박의명의 불개미 구조...,파이낸셜뉴스,0,0
셀트리온,"셀트리온 렉키로나, 델타 변이에 효능?…국립보건硏 ""동물실험 중""",스포츠동아,1,1
셀트리온,"셀트리온 렉키로나, 델타변이 효능 '동물실험' 통해 평가중",뉴스1,1,1
셀트리온,"셀트리온 렉키로나, 누적 5529명 환자에 투여",이데일리,1,1
셀트리온,2분기 총수 주식재산 공개…'카카오' 김범수 웃고 '셀트리온' 서정진 울고,이데일리,1,1
셀트리온,셀트리온 '렉키로나' 유럽 유망 코로나19 치료제 선정,이데일리,0,1
셀트리온,"셀트리온그룹株, 렉키로나의 유럽 유망 치료제 선정 소식에 강세",한국경제,0,1
셀트리온,"셀트리온 '렉키로나', 유럽서 유망 코로나 치료제로 선정",문화일보,0,1
셀트리온,"셀트리온, '렉키로나' 유럽 유망 코로나19 치료제 선정",헤럴드경제,0,1
셀트리온,"유럽집행위원회, 셀트리온 '렉키로나' 코로나19 유망 치료제로 선정",국민일보,0,1
셀트리온,"셀트리온 '렉키로나', 유럽 유망 코로나19 치료제 선정",한국일보,0,1
셀트리온,"셀트리온, 유럽이 선정한 '유망한' 코로나 치료제 톱 5 수성",이데일리,0,1
셀트리온,"셀트리온 ""렉키로나, 유럽연합 유망한 코로나19 치료제 선정""",한국경제TV,0,1
셀트리온,"유럽집행위원회, 셀트리온 '렉키로나' 코로나19 치료제로 추천",서울경제,0,1
셀트리온,"셀트리온 렉키로나, 델타 변이에 효과 있나… 7월 초 결과 발표",헤럴드경제,0,1
셀트리온,"셀트리온 ""렉키로나 변이바이러스 효능 입증할 것""",한국경제,0,1
셀트리온,[외인이 담은 바이오]기관투자자 ‘셀트리온’ 외국인 ‘신풍제약’ 러브콜,머니투데이,0,1
셀트리온,"코스피, 3300시대 '활짝'… 코스닥은 셀트리온 부진에 '미끄럼'",아시아경제,0,1
셀트리온,"셀트리온 ""렉키로나, '델타 변이' 효능 위해 동물실험 계속""",SBS Biz,0,1
셀트리온,"셀트리온 ""렉키로나 델타변이 방어 능력...동물실험서 입증 기대""",파이낸셜뉴스,0,1
셀트리온,"셀트리온 ""렉키로나 델타변이 방어능력, 동물실험서 입증할 것""",머니S,0,1
셀트리온,"렉키로나, 델타 변이 효능↓…셀트리온 ""동물실험 기대""(종합)",연합뉴스,0,1
셀트리온,"셀트리온 ""렉키로나, 동물시험서 델타 변이 효과 기대""",뉴스1,0,1
셀트리온,[증시이슈] “렉키로나주 델타형 변이 효능 적다” 셀트리온 주가 급락,한국경제,0,1
셀트리온,방역당국 한 마디에…셀트리온 삼총사 시총 3.5조 사라졌다,SBS Biz,0,0
셀트리온,[핫스탁]셀트리온·이마트·아모센스(종합),머니S,0,0
셀트리온,[코스닥 마감]보합권 마감해 ‘1012선'…셀트리온株 급락,머니투데이,1,0
셀트리온,"셀트리온 오너 2세, 지분 투자 英 바이오기업 사내이사 올라",이데일리,0,1
셀트리온,"셀트리온, 오리지널 넘어선 복제약…치료 영역 넓힌다",머니투데이,0,0
셀트리온,코스닥 주간 외국인 순매도 1위 '셀트리온제약',뉴시스,1,1
셀트리온,"[임상돋보기]셀트리온 '렉키로나' 3상…""안전성·효능 확인""",동아일보,1,1
셀트리온,[제약 바이오 이모저모]셀트리온 렉키로나 3상서 효능 확인,이코노미스트,0,0
셀트리온,"[인베스트 바이오]셀트리온, 유럽 정식 승인 가능성 높아져",아이뉴스24,0,0
셀트리온,"[CEO UP | 기우성 셀트리온 대표] 국내 첫 코로나 치료제, 3상 승인 코앞...",연합뉴스,0,0
셀트리온,"셀트리온 ""코로나 치료제, 동물시험서 남아공 변이 대응 확인""",이데일리,0,0
셀트리온,"셀트리온, “렉키로나, 남아공 변이에도 유효”… 동물시험서 재확인",스포츠동아,0,0
셀트리온,"셀트리온, ""렉키로나 남아공 베타 변이 동물시험서 유효성 재확인""",서울경제,0,0
셀트리온,"셀트리온 항체치료제, 남아공 변이 바이러스에 유효성 확인",아시아경제,0,0
셀트리온,"셀트리온 렉키로나, 코로나 베타 변이에서도 유효성 확인",머니S,0,0
셀트리온,"셀트리온 ""렉키로나주, 동물시험서 남아공 변이에 효과""",머니S,0,0
셀트리온,"셀트리온 코로나 치료제, “남아공 변이 동물실험서 효과 확인됐다”",연합뉴스,0,0
셀트리온,"셀트리온, 동물시험서 남아공 '베타 변이' 유효성 재확인",매일경제,0,0
셀트리온,"셀트리온 ""코로나치료제,쥐실험서 남아공 변이 대응효과 재확인""",이데일리,1,1
셀트리온,혼조세 나타내는 코스피…셀트리온 3형제 질주,한국경제,0,0
셀트리온,"셀트리온 '렉키로나' 정식허가 '청신호'…""미국·유럽 허가도 기대""",뉴스1,0,0
셀트리온,"셀트리온 ""코로나 항체치료제 임상3상 결과 효능 입증""",머니S,0,0
셀트리온,"셀트리온, 코로나19 치료제 글로벌 임상 3상 “효능·안전성 입증”",서울경제,0,0
셀트리온,셀트리온 “렉키로나 유효성·안전성 확보…해외 수출 최종 조율 중”(종합),이데일리,0,0
셀트리온,"셀트리온 코로나 치료제 대규모 3상임상서 ""통계적 유의성 확보""(종합2보)",한국경제,0,0
셀트리온,"셀트리온 '렉키로나', 글로벌 임상 3상 통해 효능·안전성 입증(종합)",MBN,0,0
셀트리온,"셀트리온 ""코로나 치료제 임상 3상서 중증 악화율 70% 이상 감소""",한국일보,0,0
셀트리온,셀트리온 '렉키로나' 코로나 중증·사망 70% 줄였다(종합),파이낸셜뉴스,0,0
셀트리온,"[특징주]셀트리온, 코로나19 치료제 임상3상서 효능 입증에 '강세'",이코노미스트,0,0
셀트리온,"[특징주] 셀트리온, 코로나19 치료제 3상 ‘톱라인’ 결과 발표에 강세",매경이코노미,0,0
셀트리온,"셀트리온 코로나 치료제, 임상 3상서 효능·안전성 입증…이달 결과 발표",이데일리,0,0
셀트리온,"[특징주] 셀트리온, 렉키로나 임상 3상 발표에 상승세",아시아경제,0,0
셀트리온,엎치락뒤치락 코스피…셀트리온 3형제 강세,아이뉴스24,0,0
셀트리온,"셀트리온 ""코로나19 치료제 렉키로나, 3상서 효능 안전성 입증""",머니투데이,0,0
셀트리온,"셀트리온 코로나 치료제, 임상 3상서 사망 위험 '70%' 이상 감소(상보)",아시아경제,0,0
셀트리온,"셀트리온, 코로나 치료제 임상 3상 결과 발표 후 강세",뉴스1,0,0
셀트리온,"[특징주] 셀트리온 3형제, 코로나 치료제 임상3상 소식에 '급등'",문화일보,0,0
셀트리온,"[특징주] 셀트리온, 코로나19 치료제 임상3상 효능 입증 소식에 강세",노컷뉴스,0,0
셀트리온,[특징주] “코로나 치료제 임상 3상서 중증 악화율 70% 이상 줄였다”...셀트...,이코노미스트,0,0
셀트리온,"[특징주] 셀트리온, 코로나 치료제 임상3상 결과 공시에 강세",이데일리,0,0
셀트리온,"[특징주] 셀트리온, 코로나 치료제 임상3상 결과 발표에 오름세",연합뉴스,0,0
셀트리온,"셀트리온 급등...""당초 발표보다 약효 우수""",아시아경제,0,0
셀트리온,셀트리온 “‘코로나 치료제’ 임상3상서 사망 위험 70% 감소 효과 입증”,데일리안,0,0
셀트리온,"셀트리온 '렉키로나', 글로벌 3상서 중증악화율 70% 감소",파이낸셜뉴스,0,0
셀트리온,'렉키로나' 임상 3상 결과에 셀트리온 장초반 2%대 상승,뉴스1,0,0
셀트리온,"[속보] 셀트리온 ""코로나 치료제, 글로벌 3상서 효능·안전성 입증""",아시아경제,0,0
셀트리온,"셀트리온 항체치료제 ‘렉키로나’, 임상 3상 통해 효능·안전성 입증",아시아경제,0,0
셀트리온,셀트리온 코로나19 치료제 '렉키로나' 임상 3상서 위약군 대비 치료 기간 4.9...,조선비즈,0,0
셀트리온,셀트리온 코로나 치료제 임상 3상서 중증 악화율 70% 이상 감소(종합),헤럴드경제,0,0
셀트리온,"셀트리온 '렉키로나', 중증 악화율 70% 감소시켜…""효능·안전성 입증""",더팩트,0,0
셀트리온,"[속보] 셀트리온 '코로나19 치료제' 대규모 임상 3상 결과 발표 ""효능·안전성...",뉴스1,0,0
셀트리온,[속보] 셀트리온 “코로나 치료제 임상 3상 효능·안전성 확인”,아시아경제,0,0
셀트리온,"셀트리온, 렉키로나 글로벌 임상 3상서 효능·안전성 확인(상보)",매일경제,0,0
셀트리온,"셀트리온 ""렉키로나, 글로벌 임상 3상 통해 효능·안전성 입증""",머니S,0,0
셀트리온,셀트리온 '렉키로나' 임상3상서 사망 위험 70% 감소 효과 입증(상보),한국경제,0,0
셀트리온,"셀트리온 ""코로나 치료제 대규모 임상 3상서 효능·안전성 확인""",머니S,0,0
셀트리온,"[속보] 셀트리온 '렉키로나' 임상 3상 결과 발표… ""효능과 안전성 입증""",아이뉴스24,0,0
셀트리온,"[속보]셀트리온 ""임상3상서 코로나19 치료제 통계적 유의성 입증""",서울경제,0,0
셀트리온,[외인이 담은 바이오] 외국인 ‘셀트리온’ 기관투자자 ‘SK바이오팜’ 러브콜,이데일리,0,0
셀트리온,"[제약 바이오 이모저모] 셀트리온, 英기업 530억원 지분투자…""ADC 신약 확보...",한국경제TV,0,0
셀트리온,"셀트리온 ""3분기 남아공발 변이 코로나19 바이러스 치료제 임상 진입""",한국경제TV,0,0
셀트리온,"셀트리온, 남아공 변이 코로나19 치료제 3분기 임상 시험",파이낸셜뉴스,0,0
셀트리온,"서정진 셀트리온 명예회장, 'EY 세계 최우수 기업가상'",채널A,0,0
셀트리온,"셀트리온 ""올해 3분기 남아공 변이 코로나19 치료제 임상 진입""",파이낸셜뉴스,0,0
셀트리온,"셀트리온, 진화형 렉키로나 개발중...""3분기 임상 돌입""",머니투데이,0,0
셀트리온,서정진 셀트리온 명예회장 ‘EY 최우수 기업가상’,머니S,0,0
셀트리온,"서정진 셀트리온그룹 명예회장, 한국인 첫 EY 세계 최우수 기업가상 수상",헤럴드경제,0,0
셀트리온,"셀트리온그룹 서정진 명예회장, 한국인 최초 EY 세계 최우수 기업가상 수상",서울경제,0,0
셀트리온,"서정진 셀트리온그룹 명예회장, '비즈니스계 오스카상' 수상",한국경제,0,0
셀트리온,"서정진 셀트리온 명예회장, 국내 최초 EY 세계 최우수 기업가상 수상",연합뉴스,0,0
셀트리온,"서정진 셀트리온 명예회장, EY 세계 최우수기업가상 수상",SBS Biz,0,0
셀트리온,서정진 셀트리온 명예회장 '비즈니스계 오스카상' 수상,서울신문,0,0
셀트리온,"서정진 셀트리온 명예회장, 한국인 최초 'EY 세계 최우수 기업가상' 수상",부산일보,0,0
셀트리온,"서정진 셀트리온 명예회장, 한국인 최초 EY 세계 최우수 기업가상 수상",국민일보,0,0
셀트리온,"서정진 셀트리온그룹 회장, 한국인 최초 'EY 세계 최우수 기업가상'",이데일리,0,0
셀트리온,"수젠텍-셀트리온USA, 항체진단키트 유통… '백신여권 도입' 날개 달고 비상할까",아시아경제,0,0
셀트리온,"서정진 셀트리온그룹 명예회장, EY 세계 최우수 기업가상 수상",뉴스1,0,0
셀트리온,"서정진 셀트리온 회장, 한국인 최초 'EY 세계 최우수 기업가상' 수상",연합뉴스,0,0
셀트리온,"서정진 셀트리온 명예회장, 韓 첫 EY 세계 최우수 기업가상 수상",이데일리,0,0
셀트리온,"서정진 셀트리온 명예회장, EY 세계 최우수기업가상 수상",머니투데이,0,0
셀트리온,"서정진 셀트리온그룹 명예회장, EY 세계 최우수 기업가상 수상",아시아경제,0,0
셀트리온,"서정진 셀트리온 명예회장, EY 세계 최우수 기업가상 수상",이데일리,0,0
셀트리온,"수젠텍, 셀트리온USA와 코로나 항체검사키트 유통계약 체결",뉴스1,0,0
셀트리온,"서정진 셀트리온 명예회장, 韓 최초 EY 세계 최우수 기업가상 수상",SBS Biz,0,0
셀트리온,"셀트리온, 英 '익수다 테라퓨틱'에 지분 투자…ADC 신약 파이프라인 확보",서울경제,0,0
셀트리온,"셀트리온, 영국 '익수다' 지분 투자…ADC 신약 파이프라인 확보",연합뉴스TV,0,0
셀트리온,"셀트리온 펀드, 英 익수다에 530억원 투자…항체신약 기반 확보",아이뉴스24,0,0
셀트리온,"셀트리온, 英 바이오기업에 530억원 지분투자…""ADC 신약 확보""",한국경제,0,0
셀트리온,"셀트리온, 英 익수다 최대주주 오른다…ADC 신약 기술 확보",이데일리,0,0
셀트리온,"셀트리온, 미래에셋과 손잡고 영국 '익수다' 지분투자… 새 '파이프라인' 모색",아시아경제,0,0
셀트리온,코스닥 주간 외국인 순매수 1위 '셀트리온헬스케어',파이낸셜뉴스,0,0
셀트리온,코스닥 주간 개인 순매도 1위 '셀트리온헬스케어',이데일리,0,0
셀트리온,"공매도, 주가와 관계없다?…뿔난 셀트리온·씨젠 주주들 [박의명의 불개미 구조대]",일간스포츠,0,0
